========== Currency ==========
class=Currency | name=Acorns | id=Acorns | display=Acorns | index=1
class=Currency | name=BackroomsCoins | id=BackroomsCoins | display=Backrooms Coins | index=2
class=Currency | name=BasketballCoins | id=BasketballCoins | display=Basketball Coins | index=3
class=Currency | name=BlockPartyCoins | id=BlockPartyCoins | display=Block Party Coins | index=4
class=Currency | name=CannonTycoonCoins | id=CannonTycoonCoins | display=Cannon Tycoon Coins | index=5
class=Currency | name=CardCoins | id=CardCoins | display=Card Coins | index=6
class=Currency | name=CloverCoins | id=CloverCoins | display=Clover Coins | index=7
class=Currency | name=Coins | id=Coins | display=Coins | index=8
class=Currency | name=ColorCoins | id=ColorCoins | display=Color Coins | index=9
class=Currency | name=Diamonds | id=Diamonds | display=Diamonds | index=10
class=Currency | name=Digsite | id=Digsite | display=Digsite Tokens | index=11
class=Currency | name=DinoTycoonCoins | id=DinoTycoonCoins | display=Dino Tycoon Coins | index=12
class=Currency | name=EasterCoins | id=EasterCoins | display=Easter Coins | index=13
class=Currency | name=FactoryCoins | id=FactoryCoins | display=Factory Coins | index=14
class=Currency | name=FantasyCoins | id=FantasyCoins | display=Fantasy Coins | index=15
class=Currency | name=FarmingCoins | id=FarmingCoins | display=Farming Coins | index=16
class=Currency | name=Fishing | id=Fishing | display=Fishing Tokens | index=17
class=Currency | name=FishingEvent | id=FishingEvent | display=Fishing Coins | index=18
class=Currency | name=GameCoins | id=GameCoins | display=Game Coins | index=19
class=Currency | name=GingerbreadCoins | id=GingerbreadCoins | display=Holiday Coins | index=20
class=Currency | name=GingerbreadCoins2 | id=GingerbreadCoins2 | display=Holiday Coins | index=21
class=Currency | name=GlitchCoins | id=GlitchCoins | display=Glitch Coins | index=22
class=Currency | name=GoodVsEvilCoins | id=GoodVsEvilCoins | display=Good vs. Evil Coins | index=23
class=Currency | name=GymCoins | id=GymCoins | display=Gym Coins | index=24
class=Currency | name=HalloweenCandy | id=HalloweenCandy | display=Halloween Candy | index=25
class=Currency | name=HalloweenCoins | id=HalloweenCoins | display=Halloween Candy | index=26
class=Currency | name=LineCoins | id=LineCoins | display=Line Coins | index=27
class=Currency | name=LuckyCoins | id=LuckyCoins | display=Lucky Coins | index=28
class=Currency | name=MiningCoins | id=MiningCoins | display=Mining Coins | index=29
class=Currency | name=RaveCoins | id=RaveCoins | display=Rave Coins | index=30
class=Currency | name=RngCoins | id=RngCoins | display=RNG Coins | index=31
class=Currency | name=SnowstormSurvival | id=SnowstormSurvival | display=Logs | index=32
class=Currency | name=SummerCoins | id=SummerCoins | display=Summer Coins | index=33
class=Currency | name=TechCoins | id=TechCoins | display=Tech Coins | index=34
class=Currency | name=TowerDefenseRubies | id=TowerDefenseRubies | display=Rubies | index=35
class=Currency | name=ValentinesCoins | id=ValentinesCoins | display=Valentines Coins | index=36
class=Currency | name=VoidCoins | id=VoidCoins | display=Void Coins | index=37
class=Currency | name=Woodcutting | id=Woodcutting | display=Woodcutting Tokens | index=38
class=Currency | name=YeetOrbs | id=YeetOrbs | display=Yeet Orbs | index=39

========== WateringCans ==========
class=WateringCans | name=Golden Watering Can | id=Golden Watering Can | display=Golden Watering Can
class=Products | name=Pixel Monkey Egg | id=Pixel Monkey Egg | display=Pixel Monkey Egg
class=Products | name=Pixel Piggy Egg | id=Pixel Piggy Egg | display=Pixel Piggy Egg
class=Products | name=Pixel Potato | id=Pixel Potato | display=Pixel Potato
class=Products | name=Pixel Tiger Egg | id=Pixel Tiger Egg | display=Pixel Tiger Egg
class=Products | name=Pixel Wolf Egg | id=Pixel Wolf Egg | display=Pixel Wolf Egg
class=Products | name=Pixel Yeti Egg | id=Pixel Yeti Egg | display=Pixel Yeti Egg
class=Products | name=Police Booth | id=Police Booth | display=Police Booth
class=Products | name=Poseidon Axolotl | id=Poseidon Axolotl | display=
class=Products | name=Spinny Wheel Ticket | id=Spinny Wheel Ticket | display=Spinny Wheel Ticket
class=Products | name=Starter Pack | id=Starter Pack | display=Starter Pack
class=Products | name=Summer Pack | id=Summer Pack | display=Summer Pack
class=Products | name=Super Holiday Pack | id=Super Holiday Pack | display=Super Holiday Pack
class=Products | name=Superior Wisdom Enchant | id=Superior Wisdom Enchant | display=Superior Wisdom
class=Products | name=Tech Spinny Wheel Ticket | id=Tech Spinny Wheel Ticket | display=Tech Spinny Wheel Ticket
class=Products | name=TNT Capybara | id=TNT Capybara | display=
class=Products | name=Tower Pack | id=Tower Pack | display=Tower Pack
class=Products | name=UFO Booth | id=UFO Booth | display=UFO Booth
class=Products | name=Ultra Holiday Pack | id=Ultra Holiday Pack | display=Ultra Holiday Pack
class=Products | name=Void Spinny Wheel Ticket | id=Void Spinny Wheel Ticket | display=Void Spinny Wheel Ticket
class=Products | name=Zone 120 Offer | id=Zone 120 Offer | display=
class=Products | name=Zone 140 Offer | id=Zone 140 Offer | display=
class=Products | name=Zone 15 Offer | id=Zone 15 Offer | display=
class=Products | name=Zone 160 Offer | id=Zone 160 Offer | display=
class=Products | name=Zone 180 Offer | id=Zone 180 Offer | display=
class=Products | name=Zone 199 Offer | id=Zone 199 Offer | display=
class=Products | name=Zone 24 Offer | id=Zone 24 Offer | display=
class=Products | name=Zone 35 Offer | id=Zone 35 Offer | display=
class=Products | name=Zone 45 Offer | id=Zone 45 Offer | display=
class=Products | name=Zone 55 Offer | id=Zone 55 Offer | display=
class=Products | name=Zone 65 Offer | id=Zone 65 Offer | display=
class=Products | name=Zone 75 Offer | id=Zone 75 Offer | display=
class=Products | name=Zone 85 Offer | id=Zone 85 Offer | display=
class=Products | name=Zone 95 Offer | id=Zone 95 Offer | display=
class=Products | name=Zone 99 Offer | id=Zone 99 Offer | display=

========== Gamepasses ==========
class=Gamepasses | name=15 Extra Eggs | id=15 Extra Eggs | display=15 Extra Eggs
class=Gamepasses | name=15 Pets Equipped | id=15 Pets Equipped | display=15 Pets Equipped
class=Gamepasses | name=Auto Farm | id=Auto Farm | display=Display Name
class=Gamepasses | name=Auto Tapper | id=Auto Tapper | display=Auto Tapper
class=Gamepasses | name=Double Stars | id=Double Stars | display=Double Stars
class=Gamepasses | name=Extra Daycare Slots | id=Extra Daycare Slots | display=Extra Daycare Slots
class=Gamepasses | name=Huge Hunter | id=Huge Hunter | display=Huge Hunter
class=Gamepasses | name=Lucky | id=Lucky | display=Lucky
class=Gamepasses | name=Magic Eggs | id=Magic Eggs | display=Magic Eggs
class=Gamepasses | name=Super Drops | id=Super Drops | display=Super Drops
class=Gamepasses | name=Super Shiny Hunter | id=Super Shiny Hunter | display=Super Shiny Hunter
class=Gamepasses | name=Ultra Lucky | id=Ultra Lucky | display=Ultra Lucky
class=Gamepasses | name=VIP | id=VIP | display=VIP

========== Buffs ==========
class=Buffs | name=Adoption Token Boost | id=Adoption Token Boost | display=Adoption Token Boost
class=Buffs | name=Christmas Cookie | id=Christmas Cookie | display=Christmas Cookie
class=Buffs | name=Diamond Pencil | id=Diamond Pencil | display=Diamond Pencil
class=Buffs | name=Fire Dice | id=Fire Dice | display=Fire Dice
class=Buffs | name=Glitched Drive | id=Glitched Drive | display=Glitched Drive
class=Buffs | name=Golden Pencil | id=Golden Pencil | display=Golden Pencil
class=Buffs | name=Grinch-B-Gone | id=Grinch-B-Gone | display=Grinch-B-Gone
class=Buffs | name=Hot Cocoa | id=Hot Cocoa | display=Hot Cocoa
class=Buffs | name=Lucky Dice | id=Lucky Dice | display=Lucky Dice
class=Buffs | name=Lucky Dice II | id=Lucky Dice II | display=Lucky Dice II
class=Buffs | name=Lucky Dice III | id=Lucky Dice III | display=Lucky Dice III
class=Buffs | name=Lucky Tile | id=Lucky Tile | display=Lucky Tile Boost
class=Buffs | name=Mega Lucky Dice | id=Mega Lucky Dice | display=Mega Lucky Dice
class=Buffs | name=Mega Lucky Dice II | id=Mega Lucky Dice II | display=Mega Lucky Dice II
class=Buffs | name=Nightmare Fuel | id=Nightmare Fuel | display=Nightmare Fuel
class=Buffs | name=Pet Token Boost | id=Pet Token Boost | display=Pet Token Boost
class=Buffs | name=Rainbow Pencil | id=Rainbow Pencil | display=Rainbow Pencil
class=Buffs | name=Rng Chest Luck | id=Rng Chest Luck | display=RNG Chest Luck
class=Buffs | name=Squeaky Toy | id=Squeaky Toy | display=Squeaky Toy
class=Buffs | name=Super Rng Chest Luck | id=Super Rng Chest Luck | display=Super RNG Chest Luck
class=Buffs | name=Toy Ball | id=Toy Ball | display=Toy Ball
class=Buffs | name=Toy Bone | id=Toy Bone | display=Toy Bone
class=Buffs | name=Ultra Adoption Token Boost | id=Ultra Adoption Token Boost | display=Ultra Adoption Token Boost
class=Buffs | name=Ultra Grinch-B-Gone | id=Ultra Grinch-B-Gone | display=Ultra Grinch-B-Gone
class=Buffs | name=Ultra Lucky Tile | id=Ultra Lucky Tile | display=Ultra Lucky Tile Boost
class=Buffs | name=Ultra Pet Token Boost | id=Ultra Pet Token Boost | display=Ultra Pet Token Boost
class=Buffs | name=Ultra Rng Chest Luck | id=Ultra Rng Chest Luck | display=Ultra RNG Chest Luck

========== MagicOrbs ==========
class=MagicOrbs | name=Diamond Orb | id=Diamond Orb
class=MagicOrbs | name=Lightning Orb | id=Lightning Orb
class=MagicOrbs | name=Magic Orb | id=Magic Orb
class=MagicOrbs | name=Nightmare Orb | id=Nightmare Orb

========== Hoverboards ==========
class=Hoverboards | name=Art | id=Art | display=Art Hoverboard
class=Hoverboards | name=Astra | id=Astra | display=Astra Hoverboard
class=Hoverboards | name=Athena | id=Athena | display=Athena Hoverboard
class=Hoverboards | name=Aura | id=Aura | display=Aura Hoverboard
class=Hoverboards | name=Autumn | id=Autumn | display=Autumn Hoverboard
class=Hoverboards | name=Axolotl | id=Axolotl | display=Axolotl Hoverboard
class=Hoverboards | name=Balloon | id=Balloon | display=Balloon Hoverboard
class=Hoverboards | name=Banana | id=Banana | display=Banana Hoverboard
class=Hoverboards | name=Barbell | id=Barbell | display=Barbell Hoverboard
class=Hoverboards | name=Basketball | id=Basketball | display=Basketball Hoverboard
class=Hoverboards | name=Bee | id=Bee | display=Bee Hoverboard
class=Hoverboards | name=Bleebo The Alien | id=Bleebo The Alien | display=Bleebo The Alien Hoverboard
class=Hoverboards | name=Blimp Dragon | id=Blimp Dragon | display=Blimp Dragon Hoverboard
class=Hoverboards | name=Bling | id=Bling | display=Bling Hoverboard
class=Hoverboards | name=Blobfish | id=Blobfish | display=Blobfish Hoverboard
class=Hoverboards | name=Blue Flying Carpet | id=Blue Flying Carpet | display=Blue Flying Carpet
class=Hoverboards | name=Blurred | id=Blurred | display=Blurred Hoverboard
class=Hoverboards | name=Booster | id=Booster | display=Booster Hoverboard
class=Hoverboards | name=Broomstick | id=Broomstick | display=Broomstick
class=Hoverboards | name=Bubble | id=Bubble | display=Bubble Hoverboard
class=Hoverboards | name=Camo | id=Camo | display=Camo Hoverboard
class=Hoverboards | name=Camo Jet-Ski | id=Camo Jet-Ski | display=Jurassic Jet-Ski
class=Hoverboards | name=Candy Cane | id=Candy Cane | display=Candy Cane Hoverboard
class=Hoverboards | name=Cardboard | id=Cardboard | display=Cardboard Hoverboard
class=Hoverboards | name=Cat | id=Cat | display=Cat Hoverboard
class=Hoverboards | name=Clover | id=Clover | display=Clover Hoverboard
class=Hoverboards | name=Clown | id=Clown | display=Clown Hoverboard
class=Hoverboards | name=Corrupt | id=Corrupt | display=Corrupt Hoverboard
class=Hoverboards | name=Cosmic | id=Cosmic | display=Cosmic Hoverboard
class=Hoverboards | name=Cosmic Basketball | id=Cosmic Basketball | display=Cosmic Basketball Hoverboard
class=Hoverboards | name=Crayon | id=Crayon | display=Crayon Hoverboard
class=Hoverboards | name=Diamond | id=Diamond | display=Diamond Hoverboard
class=Hoverboards | name=Dino | id=Dino | display=Dino Hoverboard
class=Hoverboards | name=Dog | id=Dog | display=Dog Hoverboard
class=Hoverboards | name=Doodle | id=Doodle | display=Doodle Hoverboard
class=Hoverboards | name=Ducky | id=Ducky | display=Ducky Hoverboard
class=Hoverboards | name=Easter Bunny | id=Easter Bunny | display=Easter Bunny Hoverboard
class=Hoverboards | name=Electric Guitar | id=Electric Guitar | display=Electric Guitar Hoverboard
class=Hoverboards | name=Elemental | id=Elemental | display=Elemental Hoverboard
class=Hoverboards | name=Elf | id=Elf | display=Elf Hoverboard
class=Hoverboards | name=Evil | id=Evil | display=Evil Hoverboard
class=Hoverboards | name=Fire Dragon | id=Fire Dragon | display=Fire Dragon Hoverboard
class=Hoverboards | name=Flame | id=Flame | display=Flame Hoverboard
class=Hoverboards | name=Forcefield | id=Forcefield | display=Forcefield Hoverboard
class=Hoverboards | name=Fragmented | id=Fragmented | display=Fragmented Hoverboard
class=Hoverboards | name=Ghost | id=Ghost | display=Ghost Hoverboard
class=Hoverboards | name=Gingerbread | id=Gingerbread | display=Gingerbread Hoverboard
class=Hoverboards | name=Glitched | id=Glitched | display=Glitched Hoverboard
class=Hoverboards | name=Good vs Evil | id=Good vs Evil | display=Good vs. Evil Hoverboard
class=Hoverboards | name=Green Present | id=Green Present | display=Green Present Hoverboard
class=Hoverboards | name=GT3 | id=GT3 | display=GT3
class=Hoverboards | name=Hacker | id=Hacker | display=Hacker Hoverboard
class=Hoverboards | name=Helicopter | id=Helicopter | display=Helicopter
class=Hoverboards | name=Hellfire | id=Hellfire | display=Hellfire Hoverboard
class=Hoverboards | name=High Tech | id=High Tech | display=High-Tech Hoverboard
class=Hoverboards | name=Hologram | id=Hologram | display=Hologram Hoverboard
class=Hoverboards | name=Holographic | id=Holographic | display=Holographic Hoverboard
class=Hoverboards | name=Hotdog | id=Hotdog | display=Hotdog Hoverboard
class=Hoverboards | name=Ice Cream | id=Ice Cream | display=Ice Cream Hoverboard
class=Hoverboards | name=Jelly | id=Jelly | display=Jelly Hoverboard
class=Hoverboards | name=Kitsune | id=Kitsune | display=Kitsune Hoverboard
class=Hoverboards | name=M-10 | id=M-10 | display=M-10 Hoverboard
class=Hoverboards | name=Millionaire | id=Millionaire | display=Millionaire Hoverboard
class=Hoverboards | name=Mosaic | id=Mosaic | display=Mosaic Hoverboard
class=Hoverboards | name=Mushroom | id=Mushroom | display=Mushroom Hoverboard
class=Hoverboards | name=Night Terror | id=Night Terror | display=Night Terror Hoverboard
class=Hoverboards | name=Nightmare | id=Nightmare | display=Nightmare Hoverboard
class=Hoverboards | name=Noob | id=Noob | display=Noob Hoverboard
class=Hoverboards | name=Original | id=Original | display=Hoverboard
class=Hoverboards | name=Oversized | id=Oversized | display=Oversized Hoverboard
class=Hoverboards | name=Patchwork | id=Patchwork | display=Patchwork Hoverboard
class=Hoverboards | name=Paw Print | id=Paw Print | display=Paw Print Hoverboard
class=Hoverboards | name=Pegasus | id=Pegasus | display=Pegasus Hoverboard
class=Hoverboards | name=Pencil | id=Pencil | display=Pencil Hoverboard
class=Hoverboards | name=Pet Games | id=Pet Games | display=Pet Games Hoverboard
class=Hoverboards | name=Pinata | id=Pinata | display=Piñata Hoverboard
class=Hoverboards | name=Pixel Dragon | id=Pixel Dragon | display=Pixel Dragon Hoverboard
class=Hoverboards | name=Pizza | id=Pizza | display=Pizza Hoverboard
class=Hoverboards | name=Police | id=Police | display=Police Hoverboard
class=Hoverboards | name=Popcat | id=Popcat | display=Popcat Hoverboard
class=Hoverboards | name=Pot of Gold | id=Pot of Gold | display=Pot of Gold Hoverboard
class=Hoverboards | name=Pumpkin Cat | id=Pumpkin Cat | display=Pumpkin Cat Hoverboard
class=Hoverboards | name=Purple | id=Purple | display=Purple Hoverboard
class=Hoverboards | name=Rainbow | id=Rainbow | display=Rainbow Hoverboard
class=Hoverboards | name=Rave | id=Rave | display=Rave Hoverboard
class=Hoverboards | name=Rave Crab | id=Rave Crab | display=Rave Crab Hoverboard
class=Hoverboards | name=Red Flying Carpet | id=Red Flying Carpet | display=Red Flying Carpet
class=Hoverboards | name=Red Present | id=Red Present | display=Present Hoverboard
class=Hoverboards | name=Reversed | id=Reversed | display=Reversed Hoverboard
class=Hoverboards | name=Rich | id=Rich | display=Rich Hoverboard
class=Hoverboards | name=Rocket | id=Rocket | display=Rocket
class=Hoverboards | name=Rudolph | id=Rudolph | display=Rudolph Hoverboard
class=Hoverboards | name=Ruler | id=Ruler | display=Ruler Hoverboard
class=Hoverboards | name=Safety | id=Safety | display=Safety Hoverboard
class=Hoverboards | name=Sandcastle | id=Sandcastle | display=Sandcastle Hoverboard
class=Hoverboards | name=Silver | id=Silver | display=Silver Hoverboard
class=Hoverboards | name=Sk8board | id=Sk8board | display=Sk8board
class=Hoverboards | name=Sleigh | id=Sleigh | display=Sleigh Hoverboard
